classifier,Score,Alpha,Execution Time
Multinomial NB,0.3229105786090005,0.01,0.0033127307891845704
Multinomial NB,0.3425218410127099,0.02,0.00040030479431152344
Multinomial NB,0.35371402706308364,0.03,0.003023719787597656
Multinomial NB,0.3626967802954767,0.04,0.001200699806213379
Multinomial NB,0.36857544173365453,0.05,0.004199790954589844
Multinomial NB,0.37348105501665096,0.06,0.0002999067306518555
Multinomial NB,0.37529211613602803,0.07,0.0012037992477416993
Multinomial NB,0.3770793600339054,0.08,0.0029587507247924804
Multinomial NB,0.3784431327748159,0.09,0.0018045425415039063
Multinomial NB,0.3821667907669397,0.1,0.00449979305267334
Multinomial NB,0.38394267659670506,0.11,0.002700209617614746
Multinomial NB,0.386812815411677,0.12,0.002000164985656738
Multinomial NB,0.38484848484848483,0.13,0.0012000799179077148
Multinomial NB,0.381139122315593,0.14,0.0047998189926147464
Multinomial NB,0.3808226115057021,0.15,0.002299928665161133
Multinomial NB,0.37759105396283443,0.16,0.001100015640258789
Multinomial NB,0.3753311475409836,0.17,0.0036020517349243165
Multinomial NB,0.3779189288914659,0.18,0.001550602912902832
Multinomial NB,0.37897056778183136,0.19,0.0020000696182250976
Multinomial NB,0.3782214224934556,0.2,0.004399728775024414
Multinomial NB,0.37712419722338536,0.21,0.0009999275207519531
Multinomial NB,0.3767330448604733,0.22,0.0053002357482910155
Multinomial NB,0.37652374003816363,0.23,0.0018998384475708008
Multinomial NB,0.3753577512776831,0.24,0.003057432174682617
Multinomial NB,0.36580310880829014,0.25,0.003299856185913086
Multinomial NB,0.3665717110839062,0.26,0.001900029182434082
Multinomial NB,0.3632768361581921,0.27,0.005399942398071289
Multinomial NB,0.3636927299980135,0.28,0.0012999773025512695
Multinomial NB,0.3599144927447462,0.29,0.0038997650146484373
Multinomial NB,0.3588204560821193,0.3,0.0022999048233032227
Multinomial NB,0.35574957450317213,0.31,0.0025998592376708985
Multinomial NB,0.3511524576506526,0.32,0.002299928665161133
Multinomial NB,0.35298245614035084,0.33,0.001199960708618164
Multinomial NB,0.35488104104801244,0.34,0.002099919319152832
Multinomial NB,0.35353215442482494,0.35,0.0027475357055664062
Multinomial NB,0.3495507997474481,0.36,0.0010999202728271484
Multinomial NB,0.35188259490267776,0.37,0.004116630554199219
Multinomial NB,0.35096173521587887,0.38,0.001203775405883789
Multinomial NB,0.34920339333747147,0.39,0.0009752273559570313
