classifier,Score,C-value,Execution Time
Liblinear SVM,0.041030161,0.01,0.004687428
Liblinear SVM,0.08837038,0.02,0.004687333
Liblinear SVM,0.118380527,0.03,0.003125095
Liblinear SVM,0.137473461,0.04,0.001562548
Liblinear SVM,0.149243448,0.05,0.001562214
Liblinear SVM,0.159729978,0.06,0.004687428
Liblinear SVM,0.17169216,0.07,0.004687023
Liblinear SVM,0.182290266,0.08,0.004687619
Liblinear SVM,0.196124784,0.09,0.003124976
Liblinear SVM,0.20590881,0.1,0.003128648
Liblinear SVM,0.207303542,0.11,0.004687405
Liblinear SVM,0.208458822,0.12,0.003125072
Liblinear SVM,0.212010514,0.13,0.003125048
Liblinear SVM,0.217398484,0.14,0.001560879
Liblinear SVM,0.216866599,0.15,0.004684138
Liblinear SVM,0.220868231,0.16,0.001562595
Liblinear SVM,0.224016706,0.17,0.001562595
Liblinear SVM,0.228290024,0.18,0.003125
Liblinear SVM,0.230975241,0.19,0.004686975
Liblinear SVM,0.230138638,0.2,0.006253481
Liblinear SVM,0.23390476,0.21,0.003121758
Liblinear SVM,0.238721355,0.22,0.003124881
Liblinear SVM,0.242667007,0.23,0.004687572
Liblinear SVM,0.241227241,0.24,0.003124976
Liblinear SVM,0.240652075,0.25,0.003124905
Liblinear SVM,0.245137858,0.26,0.003124952
Liblinear SVM,0.243687795,0.27,0.003124952
Liblinear SVM,0.242846818,0.28,0.004687405
Liblinear SVM,0.243810173,0.29,0.003125
Liblinear SVM,0.245090944,0.3,0.004687405
Liblinear SVM,0.244817738,0.31,0.004687905
Liblinear SVM,0.248021527,0.32,0.001563811
Liblinear SVM,0.251560863,0.33,0.003123641
Liblinear SVM,0.253233922,0.34,0.003125072
Liblinear SVM,0.254986117,0.35,0.003734255
Liblinear SVM,0.256710959,0.36,0.003163505
Liblinear SVM,0.256424927,0.37,0.003125119
Liblinear SVM,0.258433785,0.38,0.004687238
Liblinear SVM,0.25813784,0.39,0.004687595
Liblinear SVM,0.259499348,0.4,0.004687405
Liblinear SVM,0.258618071,0.41,0.006249905
Liblinear SVM,0.257743363,0.42,0.003124881
Liblinear SVM,0.25937439,0.43,0.003125238
Liblinear SVM,0.259092226,0.44,0.006250143
Liblinear SVM,0.257404732,0.45,0.004687142
Liblinear SVM,0.257127698,0.46,0.003125405
Liblinear SVM,0.256279458,0.47,0
Liblinear SVM,0.257976222,0.48,0.001562476
Liblinear SVM,0.257679619,0.49,0.004687643
Liblinear SVM,0.261543378,0.5,0.00468719
Liblinear SVM,0.261543378,0.51,0.003061628
Liblinear SVM,0.261824274,0.52,0.003797841
Liblinear SVM,0.259582122,0.53,0.00399673
Liblinear SVM,0.259283298,0.54,0.003599453
Liblinear SVM,0.25715859,0.55,0.003900266
Liblinear SVM,0.25715859,0.56,0.003902912
Liblinear SVM,0.258805678,0.57,0.003999329
Liblinear SVM,0.258805678,0.58,0.003601575
Liblinear SVM,0.258529748,0.59,0.003798413
Liblinear SVM,0.258255039,0.6,0.003898048
Liblinear SVM,0.257981543,0.61,0.003898263
Liblinear SVM,0.257981543,0.62,0.003698373
Liblinear SVM,0.257709251,0.63,0.003798175
Liblinear SVM,0.257413952,0.64,0.004792953
Liblinear SVM,0.257142857,0.65,0.006248498
Liblinear SVM,0.256848853,0.66,0.00468626
Liblinear SVM,0.256848853,0.67,0.0046875
Liblinear SVM,0.25682723,0.68,0.003125143
Liblinear SVM,0.258719197,0.69,0.004562807
Liblinear SVM,0.260304539,0.7,0.006249428
