Classifier,Score,C-Value,Execution Time
Liblinear SVM,0.126385171,0.05,0.657584953
Liblinear SVM,0.165047522,0.1,1.311068153
Liblinear SVM,0.192823129,0.15,1.746208143
Liblinear SVM,0.203744133,0.2,1.953853631
Liblinear SVM,0.204487471,0.25,1.949702239
Liblinear SVM,0.213131686,0.3,1.929103374
Liblinear SVM,0.215380519,0.35,1.960453272
Liblinear SVM,0.220368498,0.4,1.982951069
Liblinear SVM,0.222471336,0.45,1.896954489
Liblinear SVM,0.222008195,0.5,1.904753447
Liblinear SVM,0.23280197,0.55,1.869205046
Liblinear SVM,0.231808383,0.6,1.892104483
Liblinear SVM,0.23843668,0.65,1.9325032
Liblinear SVM,0.242052564,0.7,1.906654882
Liblinear SVM,0.243010455,0.75,1.90635438
Liblinear SVM,0.238812358,0.8,1.911754322
Liblinear SVM,0.23546933,0.85,1.911154079
Liblinear SVM,0.23484247,0.9,2.031000447
Liblinear SVM,0.240316469,0.95,1.880204749
Liblinear SVM,0.23552634,1,1.920353317
Linear SVM,0.028169014,0.05,5.181470871
Linear SVM,0.066473988,0.1,5.194970489
Linear SVM,0.072352138,0.15,5.212670374
Linear SVM,0.10356208,0.2,5.158971238
Linear SVM,0.115823688,0.25,5.192620587
Linear SVM,0.146802958,0.3,5.254819202
Linear SVM,0.16576087,0.35,5.276218438
Linear SVM,0.181283156,0.4,5.465514731
Linear SVM,0.192431934,0.45,5.568661475
Linear SVM,0.195797131,0.5,5.805405307
Linear SVM,0.196960294,0.55,5.721557665
Linear SVM,0.205286788,0.6,6.044349384
Linear SVM,0.196660848,0.65,6.111647105
Linear SVM,0.201076667,0.7,5.903003573
Linear SVM,0.202258103,0.75,5.800255585
Linear SVM,0.203970511,0.8,5.959001946
Linear SVM,0.208955688,0.85,5.767555499
Linear SVM,0.215520378,0.9,5.544412065
Linear SVM,0.220843054,0.95,5.893352747
Linear SVM,0.221284431,1,5.782105875
RBF SVM,0,0.05,3.716707921
RBF SVM,0,0.1,3.866553855
RBF SVM,0,0.15,4.133997416
RBF SVM,0,0.2,4.322592711
RBF SVM,0,0.25,4.404890347
RBF SVM,0,0.3,4.456088924
RBF SVM,0,0.35,4.430489635
RBF SVM,0,0.4,4.454089785
RBF SVM,0,0.45,4.99072597
RBF SVM,0,0.5,4.976125908
RBF SVM,0,0.55,5.025575495
RBF SVM,0,0.6,4.982076383
RBF SVM,0,0.65,5.131472373
RBF SVM,0,0.7,5.402565789
RBF SVM,0,0.75,5.601160908
RBF SVM,0,0.8,5.679108334
RBF SVM,0,0.85,5.742757225
RBF SVM,0,0.9,5.89500289
RBF SVM,0,0.95,5.729007602
RBF SVM,0,1,5.235519719
RBF SVM,0.020979021,100,5.656010032
RBF SVM,0.07183908,200,5.812255239
RBF SVM,0.08260949,300,5.989050913
RBF SVM,0.093930526,400,5.653959179
RBF SVM,0.109639999,500,5.367816448
RBF SVM,0.136102825,600,5.378416538
RBF SVM,0.159957079,700,5.715907955
RBF SVM,0.162674935,800,5.728757334
RBF SVM,0.179729229,900,5.972051573
RBF SVM,0.203876806,1000,5.43836441
RBF SVM,0.204129664,1100,5.41796515
RBF SVM,0.200363362,1200,6.206845641
RBF SVM,0.209859391,1300,6.496038508
RBF SVM,0.21676603,1400,6.255594754
RBF SVM,0.216895757,1500,5.793705821
RBF SVM,0.214625763,1600,6.168146539
RBF SVM,0.223673892,1700,6.427390265
RBF SVM,0.222880145,1800,6.726732755
RBF SVM,0.226802452,1900,6.697032356
RBF SVM,0.231212664,2000,5.997550607
RBF SVM,0.229799475,2100,5.373566008
RBF SVM,0.23006148,2200,5.544562268
RBF SVM,0.228951856,2300,5.799005604
RBF SVM,0.236846503,2400,5.793506098
RBF SVM,0.234395844,2500,5.802655363
RBF SVM,0.233983679,2600,5.790905619
RBF SVM,0.23897412,2700,5.802455616
RBF SVM,0.238224379,2800,5.54821136
RBF SVM,0.245543436,2900,5.55781188
RBF SVM,0.244563505,3000,5.584710979
RBF SVM,0.241864054,3100,5.318817496
RBF SVM,0.241359702,3200,5.561511612
RBF SVM,0.242770876,3300,5.819505167
RBF SVM,0.247173663,3400,5.319167686
RBF SVM,0.246931923,3500,5.417164993
RBF SVM,0.246931923,3600,5.587010717
RBF SVM,0.246132499,3700,5.311017561
RBF SVM,0.245891703,3800,5.781106091
RBF SVM,0.246714252,3900,5.747207141
RBF SVM,0.246211273,4000,5.808555651
RBF SVM,0.246189126,4100,5.637359476
RBF SVM,0.246429922,4200,6.375691056
RBF SVM,0.244710878,4300,6.254744506
RBF SVM,0.242349832,4400,6.437038589
RBF SVM,0.243330805,4500,6.513487291
RBF SVM,0.245021018,4600,6.347841859
RBF SVM,0.244031008,4700,6.669733882
RBF SVM,0.24677862,4800,6.284243464
RBF SVM,0.246517673,4900,6.137847328
RBF SVM,0.244312296,5000,6.515837526
