classifier,Score,Alpha,Execution Time
Bernoulli NB,0.41072050354894873,0.01,0.02493240833282471
Bernoulli NB,0.4185386473429952,0.02,0.02468400001525879
Bernoulli NB,0.41841545591755214,0.03,0.01575148105621338
Bernoulli NB,0.4177931034482759,0.04,0.025096440315246583
Bernoulli NB,0.4220116410117408,0.05,0.042826604843139646
Bernoulli NB,0.4202912214540121,0.06,0.03199927806854248
Bernoulli NB,0.42132169960190186,0.07,0.031402063369750974
Bernoulli NB,0.4237713088580648,0.08,0.016399717330932616
Bernoulli NB,0.4273565168411242,0.09,0.013599514961242676
Bernoulli NB,0.424770439207877,0.1,0.013899540901184082
Bernoulli NB,0.42321326876872317,0.11,0.0374988317489624
Bernoulli NB,0.4194791869822184,0.12,0.03729889392852783
Bernoulli NB,0.4214411638853231,0.13,0.028999185562133788
Bernoulli NB,0.42046615252784925,0.14,0.03159916400909424
Bernoulli NB,0.42049508366396415,0.15,0.03089916706085205
Bernoulli NB,0.4222619974059662,0.16,0.04519851207733154
Bernoulli NB,0.4192091190543203,0.17,0.01609947681427002
Bernoulli NB,0.4192100182247966,0.18,0.010399699211120605
Bernoulli NB,0.42052723396006986,0.19,0.007199883460998535
Bernoulli NB,0.4223234744831057,0.2,0.007799673080444336
Bernoulli NB,0.4185531264692055,0.21,0.014999604225158692
Bernoulli NB,0.4187726209602392,0.22,0.012799692153930665
Bernoulli NB,0.4125949713122222,0.23,0.004500055313110351
Bernoulli NB,0.4089760183381488,0.24,0.004899954795837403
Bernoulli NB,0.40100472141815224,0.25,0.005499815940856934
Bernoulli NB,0.3915994543235287,0.26,0.0025000572204589844
Bernoulli NB,0.38559503263106515,0.27,0.007499861717224121
Bernoulli NB,0.37379340621223045,0.28,0.014299559593200683
Bernoulli NB,0.36762268047150604,0.29,0.005799984931945801
Bernoulli NB,0.35883588729609484,0.3,0.004900097846984863
Bernoulli NB,0.33546519925257473,0.31,0.007499861717224121
Bernoulli NB,0.32816617416999827,0.32,0.007299661636352539
Bernoulli NB,0.3171396492886794,0.33,0.006600093841552734
Bernoulli NB,0.29663048075567455,0.34,0.0032997608184814455
Bernoulli NB,0.2719543413487768,0.35,0.009099721908569336
Bernoulli NB,0.25668016194331983,0.36,0.004800033569335937
Bernoulli NB,0.24580254247356542,0.37,0.008299970626831054
