Classifier,Score,ngrams upper bound,Execution Time
Liblinear SVM,0.26660628019323673,1,0.0031000375747680664
Liblinear SVM,0.2759118371000223,2,0.003200078010559082
Liblinear SVM,0.2708883419109421,3,0.0032999515533447266
Liblinear SVM,0.27054068048572716,4,0.0031996250152587892
Liblinear SVM,0.2674403782097112,5,0.0035996198654174804
Liblinear SVM,0.2597535818556887,6,0.00319979190826416
Liblinear SVM,0.2678180694516361,7,0.003199863433837891
Liblinear SVM,0.2749192560418755,8,0.0036996841430664063
Liblinear SVM,0.27458813173098884,9,0.0031002283096313475
Liblinear SVM,0.2657635467980296,10,0.0038997411727905275
