Classifier,Score,Num Feats,Execution Time
Multinomial NB,0.523750311,100,0.017399526
Multinomial NB,0.567203607,200,0.036698723
Multinomial NB,0.601242868,300,0.057098699
Multinomial NB,0.623319606,400,0.078298163
Multinomial NB,0.639518246,500,0.080297828
Multinomial NB,0.65092746,600,0.109397364
Multinomial NB,0.666329564,700,0.099625611
Multinomial NB,0.673697712,800,0.146996331
Multinomial NB,0.68071052,900,0.126896977
Multinomial NB,0.68431639,1000,0.155796313
Multinomial NB,0.688822164,1100,0.16191175
Multinomial NB,0.695026333,1200,0.189595437
Multinomial NB,0.698347173,1300,0.221594262
Multinomial NB,0.703006611,1400,0.239345765
Multinomial NB,0.705243521,1500,0.263413525
Multinomial NB,0.708959784,1600,0.24090457
Multinomial NB,0.713457278,1700,0.270493579
Multinomial NB,0.71647959,1800,0.292459702
Multinomial NB,0.719763276,1900,0.303592515
Multinomial NB,0.722933744,2000,0.331642127
Multinomial NB,0.7241913,2100,0.360639429
Multinomial NB,0.725252622,2200,0.410789871
Multinomial NB,0.727712373,2300,0.367496419
Multinomial NB,0.729827092,2400,0.362742233
Multinomial NB,0.730947011,2500,0.382044315
Multinomial NB,0.731496159,2600,0.398160553
Multinomial NB,0.732162638,2700,0.422789931
Multinomial NB,0.732809392,2800,0.466644287
Multinomial NB,0.733424398,2900,0.446840739
Multinomial NB,0.734571114,3000,0.486280179
Multinomial NB,0.735716498,3100,0.481178164
Multinomial NB,0.736433375,3200,0.518887687
Multinomial NB,0.737279328,3300,0.534687638
Multinomial NB,0.738084312,3400,0.528003073
Multinomial NB,0.73911402,3500,0.513387752
Multinomial NB,0.740431737,3600,0.544999099
Multinomial NB,0.740001668,3700,0.589542723
Multinomial NB,0.74075775,3800,0.568586755
Multinomial NB,0.741545647,3900,0.630685282
Multinomial NB,0.741244526,4000,0.64020083
Multinomial NB,0.741480722,4100,0.634785175
Multinomial NB,0.74261262,4200,0.675809121
Multinomial NB,0.743627069,4300,0.713684869
Multinomial NB,0.744959462,4400,0.698383594
Multinomial NB,0.745347435,4500,0.720123887
Multinomial NB,0.745327758,4600,0.738689089
Multinomial NB,0.745939488,4700,0.650538039
Multinomial NB,0.745780667,4800,0.693301415
Multinomial NB,0.746390191,4900,0.675783682
Multinomial NB,0.74649114,5000,0.763524032
Multinomial NB,0.746435614,5100,0.79018147
Multinomial NB,0.747018502,5200,0.755785418
Multinomial NB,0.747768869,5300,0.819882345
Multinomial NB,0.748503481,5400,0.912978578
Multinomial NB,0.749351536,5500,0.957778144
Multinomial NB,0.750734435,5600,0.907178974
Multinomial NB,0.751082555,5700,0.851980209
Multinomial NB,0.751050202,5800,0.857296586
Multinomial NB,0.751233154,5900,1.020778418
Multinomial NB,0.751544725,6000,0.916565657
Multinomial NB,0.752478025,6100,0.925929093
Multinomial NB,0.752905129,6200,0.953541732
Multinomial NB,0.753530006,6300,1.000587988
Multinomial NB,0.75420209,6400,0.953515148
Multinomial NB,0.754669144,6500,0.932078218
Multinomial NB,0.754769467,6600,0.958632541
Multinomial NB,0.755183589,6700,1.020991898
Multinomial NB,0.755673314,6800,0.987000656
Multinomial NB,0.756080754,6900,0.969834208
Multinomial NB,0.75630688,7000,0.966525793
Multinomial NB,0.756724918,7100,0.984076953
Multinomial NB,0.756467455,7200,0.99548955
Multinomial NB,0.75683165,7300,1.027775574
Multinomial NB,0.757011543,7400,1.011676216
Multinomial NB,0.757407231,7500,1.02477622
Multinomial NB,0.757337849,7600,1.047375536
Multinomial NB,0.757863851,7700,1.064921951
Multinomial NB,0.758045595,7800,1.07731142
Multinomial NB,0.758452894,7900,1.152628613
Multinomial NB,0.758486066,8000,1.134069586
Multinomial NB,0.758429673,8100,1.12792232
Multinomial NB,0.758367842,8200,1.160003161
Multinomial NB,0.758649665,8300,1.145246267
Multinomial NB,0.758824265,8400,1.147137952
Multinomial NB,0.758869829,8500,1.176490688
Multinomial NB,0.759113541,8600,1.175314188
Multinomial NB,0.75924456,8700,1.185947442
Multinomial NB,0.759360164,8800,1.212888503
Multinomial NB,0.759469945,8900,1.237564778
Multinomial NB,0.759609974,9000,1.249443603
Multinomial NB,0.75927517,9100,1.258600473
Multinomial NB,0.759836285,9200,1.247472143
