Classifier,Score,Alpha,Execution Time
Bernoulli NB,0.0,0.01,0.009994196891784667
Bernoulli NB,0.0,0.02,0.010394477844238281
Bernoulli NB,0.0,0.03,0.009395074844360352
Bernoulli NB,0.0,0.04,0.008596253395080567
Bernoulli NB,0.0,0.05,0.008098173141479491
Bernoulli NB,0.0,0.06,0.009894776344299316
Bernoulli NB,0.0,0.07,0.008193373680114746
Bernoulli NB,0.0,0.08,0.008595418930053712
Bernoulli NB,0.0,0.09,0.008897542953491211
Bernoulli NB,0.0,0.1,0.00909581184387207
Bernoulli NB,0.0,0.11,0.007795596122741699
Bernoulli NB,0.0,0.12,0.009894847869873047
Bernoulli NB,0.0,0.13,0.00909750461578369
Bernoulli NB,0.0,0.14,0.008993005752563477
Bernoulli NB,0.0,0.15,0.008317923545837403
Bernoulli NB,0.0,0.16,0.008994483947753906
Bernoulli NB,0.0,0.17,0.008091473579406738
Bernoulli NB,0.0,0.18,0.009096407890319824
Bernoulli NB,0.0,0.19,0.00963265895843506
Bernoulli NB,0.0,0.2,0.007895374298095703
Bernoulli NB,0.0,0.21,0.00949544906616211
Bernoulli NB,0.0,0.22,0.009743595123291015
Bernoulli NB,0.0,0.23,0.010593771934509277
Bernoulli NB,0.0,0.24,0.00862119197845459
Bernoulli NB,0.0,0.25,0.008393383026123047
Bernoulli NB,0.0,0.26,0.008794760704040528
Bernoulli NB,0.0,0.27,0.00899491310119629
Bernoulli NB,0.0,0.28,0.007695531845092774
Bernoulli NB,0.0,0.29,0.008195161819458008
Bernoulli NB,0.0,0.3,0.008794832229614257
Bernoulli NB,0.0,0.31,0.00830841064453125
Bernoulli NB,0.0,0.32,0.008995437622070312
Bernoulli NB,0.0,0.33,0.00810692310333252
Bernoulli NB,0.0,0.34,0.009492158889770508
Bernoulli NB,0.0,0.35,0.008695459365844727
Bernoulli NB,0.0,0.36,0.009494638442993164
Bernoulli NB,0.0,0.37,0.008994984626770019
Bernoulli NB,0.0,0.38,0.009196043014526367
Bernoulli NB,0.0,0.39,0.010891413688659668
Bernoulli NB,0.0,0.4,0.01176152229309082
Bernoulli NB,0.0,0.41,0.012692594528198242
Bernoulli NB,0.0,0.42,0.01259312629699707
Bernoulli NB,0.0,0.43,0.011317753791809082
Bernoulli NB,0.0,0.44,0.010894060134887695
Bernoulli NB,0.0,0.45,0.011693143844604492
Bernoulli NB,0.0,0.46,0.011493587493896484
Bernoulli NB,0.0,0.47,0.011693572998046875
Bernoulli NB,0.0,0.48,0.008994340896606445
Bernoulli NB,0.0,0.49,0.009345650672912598
Bernoulli NB,0.0,0.5,0.009394526481628418
Bernoulli NB,0.0,0.51,0.00919513702392578
Bernoulli NB,0.0,0.52,0.009094905853271485
Bernoulli NB,0.0,0.53,0.010814261436462403
Bernoulli NB,0.0,0.54,0.009094929695129395
Bernoulli NB,0.0,0.55,0.010293817520141602
Bernoulli NB,0.0,0.56,0.008994460105895996
Bernoulli NB,0.0,0.57,0.008895206451416015
Bernoulli NB,0.0,0.58,0.01079390048980713
Bernoulli NB,0.0,0.59,0.009290766716003419
Bernoulli NB,0.0,0.6,0.009783339500427247
Bernoulli NB,0.0,0.61,0.008694219589233398
Bernoulli NB,0.0,0.62,0.009796476364135743
Bernoulli NB,0.0,0.63,0.009496045112609864
Bernoulli NB,0.0,0.64,0.007697439193725586
Bernoulli NB,0.0,0.65,0.009295487403869629
Bernoulli NB,0.0,0.66,0.008401250839233399
Bernoulli NB,0.0,0.67,0.007785797119140625
Bernoulli NB,0.0,0.68,0.008899211883544922
Bernoulli NB,0.0,0.69,0.008605408668518066
Bernoulli NB,0.0,0.7,0.008797264099121094
Bernoulli NB,0.0,0.71,0.00910806655883789
Bernoulli NB,0.0,0.72,0.008894968032836913
Bernoulli NB,0.0,0.73,0.007902431488037109
Bernoulli NB,0.0,0.74,0.009020519256591798
Bernoulli NB,0.0,0.75,0.008873534202575684
Bernoulli NB,0.0,0.76,0.010272455215454102
Bernoulli NB,0.0,0.77,0.008896946907043457
Bernoulli NB,0.0,0.78,0.009476280212402344
Bernoulli NB,0.0,0.79,0.009395122528076172
Bernoulli NB,0.0,0.8,0.008495163917541505
Bernoulli NB,0.0,0.81,0.00939490795135498
Bernoulli NB,0.0,0.82,0.008994817733764648
Bernoulli NB,0.0,0.83,0.009244847297668456
Bernoulli NB,0.0,0.84,0.009295392036437988
Bernoulli NB,0.0,0.85,0.009994292259216308
