Classifier,Score,Alpha,Execution Time
Bernoulli NB,0.7318268002731518,0.01,0.012891244888305665
Bernoulli NB,0.7361376724126422,0.02,0.012791275978088379
Bernoulli NB,0.7394320680495657,0.03,0.015290045738220214
Bernoulli NB,0.7418650894054925,0.04,0.010915374755859375
Bernoulli NB,0.744968759706615,0.05,0.011393427848815918
Bernoulli NB,0.7464876029434255,0.06,0.010993528366088866
Bernoulli NB,0.7476560672724272,0.07,0.011693334579467774
Bernoulli NB,0.7493034579337041,0.08,0.011894845962524414
Bernoulli NB,0.7507179274932093,0.09,0.010291576385498047
Bernoulli NB,0.7509689644526437,0.1,0.010093283653259278
Bernoulli NB,0.7512177597085157,0.11,0.010335922241210938
Bernoulli NB,0.7521284864158083,0.12,0.009994578361511231
Bernoulli NB,0.7527688104187646,0.13,0.012792706489562988
Bernoulli NB,0.7537113957566944,0.14,0.01149611473083496
Bernoulli NB,0.753941764969551,0.15,0.009794330596923828
Bernoulli NB,0.7545423189550493,0.16,0.009094476699829102
Bernoulli NB,0.7552955811371648,0.17,0.008895015716552735
Bernoulli NB,0.7557801969932608,0.18,0.008799266815185548
Bernoulli NB,0.7558968628332332,0.19,0.008403205871582031
Bernoulli NB,0.7557500179431548,0.2,0.00919499397277832
Bernoulli NB,0.7561368583168311,0.21,0.008843541145324707
Bernoulli NB,0.7562892003499655,0.22,0.008889913558959961
Bernoulli NB,0.75670691071011,0.23,0.008895182609558105
Bernoulli NB,0.7570480691191515,0.24,0.008992695808410644
Bernoulli NB,0.7565306196498253,0.25,0.008590388298034667
Bernoulli NB,0.7566479035364371,0.26,0.008895277976989746
Bernoulli NB,0.7568499650923698,0.27,0.009194493293762207
Bernoulli NB,0.7574283425967643,0.28,0.009394550323486328
Bernoulli NB,0.7577290622502459,0.29,0.008595108985900879
Bernoulli NB,0.7581545236281175,0.3,0.008695673942565919
Bernoulli NB,0.7583559736555339,0.31,0.008723044395446777
Bernoulli NB,0.7584003803720849,0.32,0.008740448951721191
Bernoulli NB,0.7583939686246195,0.33,0.009194636344909668
Bernoulli NB,0.7581922001720928,0.34,0.009299039840698242
Bernoulli NB,0.7584433524433525,0.35,0.008896470069885254
Bernoulli NB,0.758199008844775,0.36,0.009344148635864257
Bernoulli NB,0.757806012929046,0.37,0.009394955635070801
Bernoulli NB,0.757726765199743,0.38,0.009395027160644531
Bernoulli NB,0.7572508282612995,0.39,0.010294532775878907
Bernoulli NB,0.7572239096279434,0.4,0.009296202659606933
Bernoulli NB,0.7577127886007992,0.41,0.00959484577178955
Bernoulli NB,0.7571537571839717,0.42,0.009695315361022949
Bernoulli NB,0.7565199822598925,0.43,0.008996248245239258
Bernoulli NB,0.7562239085556999,0.44,0.009895658493041993
Bernoulli NB,0.7562656199331689,0.45,0.009390735626220703
Bernoulli NB,0.7560351262795173,0.46,0.009295487403869629
Bernoulli NB,0.7558319935396498,0.47,0.009643650054931641
Bernoulli NB,0.7557149933776566,0.48,0.009494471549987792
Bernoulli NB,0.7554291604676842,0.49,0.009596300125122071
Bernoulli NB,0.7553230726180986,0.5,0.009501099586486816
Bernoulli NB,0.7553241588588446,0.51,0.010596585273742676
Bernoulli NB,0.7554640989322646,0.52,0.009501504898071288
Bernoulli NB,0.755416243394464,0.53,0.009495186805725097
Bernoulli NB,0.7549136350256624,0.54,0.009694266319274902
Bernoulli NB,0.7544882280199309,0.55,0.009395980834960937
Bernoulli NB,0.7540378037803781,0.56,0.00979599952697754
Bernoulli NB,0.7538717311039339,0.57,0.009494853019714356
Bernoulli NB,0.7535280533705282,0.58,0.009295320510864258
Bernoulli NB,0.7534181719323971,0.59,0.009494757652282715
Bernoulli NB,0.7531732976134442,0.6,0.009394574165344238
Bernoulli NB,0.7532448757964701,0.61,0.009295964241027832
Bernoulli NB,0.7528601798069898,0.62,0.009691977500915527
Bernoulli NB,0.7526702373752174,0.63,0.009733486175537109
Bernoulli NB,0.7522401427935703,0.64,0.009894442558288575
Bernoulli NB,0.7519468528460878,0.65,0.009307193756103515
Bernoulli NB,0.7510224967406973,0.66,0.009599637985229493
Bernoulli NB,0.7507837157881843,0.67,0.00994260311126709
Bernoulli NB,0.7504073471770201,0.68,0.009654879570007324
Bernoulli NB,0.7501792368222953,0.69,0.009894514083862304
Bernoulli NB,0.7498893205986474,0.7,0.01059267520904541
Bernoulli NB,0.7497645418884724,0.71,0.009494876861572266
Bernoulli NB,0.748979705617896,0.72,0.009239435195922852
Bernoulli NB,0.7485281357018703,0.73,0.009393620491027831
Bernoulli NB,0.7477760788546692,0.74,0.009094882011413574
Bernoulli NB,0.7471000857939628,0.75,0.009195494651794433
Bernoulli NB,0.7467357925574954,0.76,0.009491920471191406
Bernoulli NB,0.7459064291549722,0.77,0.009294366836547852
Bernoulli NB,0.7452853300858073,0.78,0.009595394134521484
Bernoulli NB,0.7448972803144314,0.79,0.00949404239654541
Bernoulli NB,0.7445874387115485,0.8,0.00909724235534668
Bernoulli NB,0.744229652155602,0.81,0.009395146369934082
Bernoulli NB,0.744036760646243,0.82,0.009595727920532227
Bernoulli NB,0.7435044455066553,0.83,0.009093308448791504
Bernoulli NB,0.7435568126347586,0.84,0.01019911766052246
Bernoulli NB,0.7429393761788243,0.85,0.009189987182617187
Bernoulli NB,0.7424017666396283,0.86,0.009194731712341309
Bernoulli NB,0.7421318591103545,0.87,0.008995604515075684
