Classifier,Score,Alpha,Execution Time
Multinomial NB,0.742079903,0.01,0.005900002
Multinomial NB,0.745414388,0.02,0.005800009
Multinomial NB,0.748667021,0.03,0.005700088
Multinomial NB,0.750785366,0.04,0.00550015
Multinomial NB,0.752566456,0.05,0.005599833
Multinomial NB,0.754420828,0.06,0.005400085
Multinomial NB,0.755906114,0.07,0.006800008
Multinomial NB,0.757417265,0.08,0.006100059
Multinomial NB,0.758211206,0.09,0.006999779
Multinomial NB,0.759412598,0.1,0.005999637
Multinomial NB,0.759993105,0.11,0.006800056
Multinomial NB,0.760448264,0.12,0.006900048
Multinomial NB,0.760906578,0.13,0.005600262
Multinomial NB,0.761549998,0.14,0.007400036
Multinomial NB,0.762093737,0.15,0.005499983
Multinomial NB,0.762309636,0.16,0.005400109
Multinomial NB,0.762742485,0.17,0.007000041
Multinomial NB,0.76288398,0.18,0.006399751
Multinomial NB,0.763398489,0.19,0.006799722
Multinomial NB,0.764191602,0.2,0.006699872
Multinomial NB,0.764443135,0.21,0.007999659
Multinomial NB,0.764826395,0.22,0.009999943
Multinomial NB,0.765269657,0.23,0.010099697
Multinomial NB,0.76596019,0.24,0.009199595
Multinomial NB,0.766246048,0.25,0.00899992
Multinomial NB,0.766576878,0.26,0.00700016
Multinomial NB,0.766963113,0.27,0.005400229
Multinomial NB,0.767162846,0.28,0.006400156
Multinomial NB,0.767207295,0.29,0.005300188
Multinomial NB,0.767412376,0.3,0.00569973
Multinomial NB,0.767575041,0.31,0.006199694
Multinomial NB,0.76777761,0.32,0.005699992
Multinomial NB,0.767737389,0.33,0.00580008
Multinomial NB,0.767815047,0.34,0.009099936
Multinomial NB,0.767815443,0.35,0.007500482
Multinomial NB,0.767847855,0.36,0.006099868
Multinomial NB,0.76800369,0.37,0.014599633
Multinomial NB,0.768234018,0.38,0.006899929
Multinomial NB,0.768287038,0.39,0.006499839
Multinomial NB,0.768200267,0.4,0.005400085
Multinomial NB,0.768180359,0.41,0.007300043
Multinomial NB,0.76846146,0.42,0.006800056
Multinomial NB,0.768252897,0.43,0.006299806
Multinomial NB,0.76814571,0.44,0.006799865
Multinomial NB,0.768316585,0.45,0.005599785
Multinomial NB,0.768607946,0.46,0.006299877
Multinomial NB,0.768607469,0.47,0.006499887
Multinomial NB,0.768706153,0.48,0.005999947
Multinomial NB,0.768965686,0.49,0.006200218
Multinomial NB,0.768844258,0.5,0.008999896
Multinomial NB,0.768845972,0.51,0.007600021
Multinomial NB,0.768773717,0.52,0.006999731
Multinomial NB,0.76874782,0.53,0.006399941
Multinomial NB,0.768872679,0.54,0.0077003
Multinomial NB,0.768853196,0.55,0.011099696
