Feature Type,Score,n-gram uppper limit,Execution Time
Bag-of-Words,0.7584766075228591,1,0.006699109077453613
Bag-of-Words,0.7694790564240178,2,0.007346415519714355
Bag-of-Words,0.7696212026960119,3,0.006196999549865722
Bag-of-Words,0.7686916034093004,4,0.006507468223571777
Bag-of-Words,0.7685479162924376,5,0.0063990592956542965
Bag-of-Words,0.7684578660673064,6,0.006396150588989258
Bag-of-Words,0.7681298439379506,7,0.0059986114501953125
Bag-of-Words,0.7692038637305079,8,0.006197881698608398
Bag-of-Words,0.7688653804465514,9,0.007297658920288086
Bag-of-Words,0.768813271159039,10,0.006598281860351563
