Pre-processing,Score,Alpha,Execution Time
Stemming,0.742219698,0.05,0.014249492
Stemming,0.747622349,0.1,0.009349656
Stemming,0.749882514,0.15,0.008099675
Stemming,0.752169927,0.2,0.01534946
Stemming,0.753346914,0.25,0.00514977
Stemming,0.754937648,0.3,0.004849935
Stemming,0.755671548,0.35,0.009549713
Stemming,0.756376575,0.4,0.007849836
Stemming,0.756660024,0.45,0.009349799
Stemming,0.756744483,0.5,0.007849789
Stemming,0.756371206,0.55,0.013899732
Stemming,0.756323987,0.6,0.011099577
Stemming,0.757159615,0.65,0.013149595
Stemming,0.757458939,0.7,0.014499617
Stemming,0.75738512,0.75,0.011399722
Stemming,0.757769315,0.8,0.007649779
Stemming,0.758008423,0.85,0.008449626
Stemming,0.757713535,0.9,0.008699703
Stemming,0.757973233,0.95,0.007099843
Stemming,0.757746269,1,0.006149721
Lemmatisation,0.748332319,0.05,0.02124939
Lemmatisation,0.75318818,0.1,0.025949264
Lemmatisation,0.75570453,0.15,0.026199389
Lemmatisation,0.758029912,0.2,0.019699621
Lemmatisation,0.759719841,0.25,0.018149662
Lemmatisation,0.760462162,0.3,0.017249703
Lemmatisation,0.761188723,0.35,0.019399452
Lemmatisation,0.762184324,0.4,0.017999601
Lemmatisation,0.762775719,0.45,0.01874938
Lemmatisation,0.763705798,0.5,0.022949481
Lemmatisation,0.763969877,0.55,0.025399089
Lemmatisation,0.764509449,0.6,0.018649459
Lemmatisation,0.764142423,0.65,0.01579957
Lemmatisation,0.764519142,0.7,0.020199537
Lemmatisation,0.764717166,0.75,0.014099598
Lemmatisation,0.76440895,0.8,0.007599688
Lemmatisation,0.76383442,0.85,0.008649755
Lemmatisation,0.764082289,0.9,0.007649755
Lemmatisation,0.763571561,0.95,0.008199811
Lemmatisation,0.763630712,1,0.004749966
Stemming + Lemmatisation,0.742219698,0.05,0.005249739
Stemming + Lemmatisation,0.747622349,0.1,0.014499736
Stemming + Lemmatisation,0.749882514,0.15,0.009449792
Stemming + Lemmatisation,0.752169927,0.2,0.01814971
Stemming + Lemmatisation,0.753346914,0.25,0.012849545
Stemming + Lemmatisation,0.754937648,0.3,0.010749602
Stemming + Lemmatisation,0.755671548,0.35,0.008199644
Stemming + Lemmatisation,0.756376575,0.4,0.011599731
Stemming + Lemmatisation,0.756660024,0.45,0.018349361
Stemming + Lemmatisation,0.756744483,0.5,0.007149816
Stemming + Lemmatisation,0.756371206,0.55,0.010699677
Stemming + Lemmatisation,0.756323987,0.6,0.011199832
Stemming + Lemmatisation,0.757159615,0.65,0.010299921
Stemming + Lemmatisation,0.757458939,0.7,0.007349777
Stemming + Lemmatisation,0.75738512,0.75,0.010849714
Stemming + Lemmatisation,0.757769315,0.8,0.014949679
Stemming + Lemmatisation,0.758008423,0.85,0.00554986
Stemming + Lemmatisation,0.757713535,0.9,0.005749607
Stemming + Lemmatisation,0.757973233,0.95,0.010799646
Stemming + Lemmatisation,0.757746269,1,0.013199687
Stem + Lem,0.7422196975982558,0.05,0.009749698638916015
Stem + Lem,0.7476223485581304,0.1,0.008899617195129394
Stem + Lem,0.7498825136992803,0.15,0.010949659347534179
Stem + Lem,0.7521699268533073,0.2,0.01739954948425293
Stem + Lem,0.7533469140109836,0.25,0.005250000953674316
Stem + Lem,0.7549376479148756,0.3,0.006999850273132324
Stem + Lem,0.755671547654795,0.35,0.01309967041015625
Stem + Lem,0.7563765747606147,0.4,0.007249855995178222
Stem + Lem,0.7566600237857992,0.45,0.007549810409545899
Stem + Lem,0.7567444830081242,0.5,0.01264967918395996
Stem + Lem,0.7563712063602758,0.55,0.013199830055236816
Stem + Lem,0.7563239873566295,0.6,0.005849885940551758
Stem + Lem,0.7571596153713558,0.65,0.008699798583984375
Stem + Lem,0.7574589390056005,0.7,0.00814974308013916
Stem + Lem,0.7573851200985934,0.75,0.008449816703796386
Stem + Lem,0.7577693154451829,0.8,0.009349894523620606
Stem + Lem,0.7580084232277668,0.85,0.007949900627136231
Stem + Lem,0.7577135351512556,0.9,0.009399771690368652
Stem + Lem,0.7579732328370787,0.95,0.005899906158447266
Stem + Lem,0.7577462694516693,1.0,0.009699749946594238
