Classifier,Score,Fold,Execution Time
Bernoulli NB,0.7868999551368326,1,115.53782200813293
Bernoulli NB,0.7904297740363315,2,111.05627965927124
Bernoulli NB,0.7677041046459179,3,86.3764328956604
Bernoulli NB,0.7692307692307693,4,112.81912446022034
Bernoulli NB,0.7806657546739627,5,90.6526370048523
Bernoulli NB,0.7874659400544959,6,70.84446287155151
Bernoulli NB,0.7611262488646686,7,94.40550184249878
Bernoulli NB,0.7844905320108206,8,110.70836424827576
Bernoulli NB,0.7612009237875289,9,90.65316033363342
Bernoulli NB,0.7578089633318243,10,126.36918783187866
Multinomial NB,0.794017094017094,1,50.469242095947266
Multinomial NB,0.7829424307036248,2,46.207337379455566
Multinomial NB,0.7796754910333049,3,46.444921255111694
Multinomial NB,0.7833547833547834,4,44.06798434257507
Multinomial NB,0.7831800262812089,5,48.68757891654968
Multinomial NB,0.7948051948051948,6,16.497277975082397
Multinomial NB,0.7657540199913082,7,27.41763472557068
Multinomial NB,0.7832830676432572,8,37.49047136306763
Multinomial NB,0.7757788503729706,9,38.27522397041321
Multinomial NB,0.7637149028077754,10,39.09164762496948
Liblinear SVM,0.7226193628099903,1,6.439690589904785
Liblinear SVM,0.7221971271117534,2,3.7165462970733643
Liblinear SVM,0.7226193628099903,3,3.8999016284942627
Liblinear SVM,0.7221971271117534,4,3.860908269882202
Liblinear SVM,0.7226193628099903,5,4.189894199371338
Liblinear SVM,0.7221971271117534,6,4.08186674118042
Liblinear SVM,0.7226193628099903,7,4.112895250320435
Liblinear SVM,0.7221971271117534,8,4.012840986251831
Liblinear SVM,0.7226193628099903,9,4.004896879196167
Liblinear SVM,0.7221971271117534,10,3.8998875617980957
