Classifier,Score,C-value,Execution Time
Liblinear SVM,0.722408245,1,4.54231317
Liblinear SVM,0.715624187,2,3.799538422
Liblinear SVM,0.711330006,3,3.752696943
Liblinear SVM,0.708107,4,4.066939807
Liblinear SVM,0.705573119,5,4.098303151
Liblinear SVM,0.703728228,6,4.297956061
Liblinear SVM,0.703115424,7,3.927105284
Liblinear SVM,0.701940257,8,3.951599455
Liblinear SVM,0.700621829,9,3.995487094
Liblinear SVM,0.635967115,10,4.41314435
Liblinear SVM,0.6180951502640742,0.01,27.199279655109752
Liblinear SVM,0.6451393026990009,0.02,34.20916357907382
Liblinear SVM,0.6553359120721045,0.03,35.69557077234442
Liblinear SVM,0.6604461218406604,0.04,30.711046175523236
Liblinear SVM,0.6632172130087213,0.05,27.002023176713422
Liblinear SVM,0.6645972068102847,0.06,31.953530398282137
Liblinear SVM,0.6658103943679329,0.07,32.35313968224959
Liblinear SVM,0.6663205054103473,0.08,33.12358949401162
Liblinear SVM,0.666675434312455,0.09,31.90980065952648
Liblinear SVM,0.6673589303403892,0.1,28.252907167781483
