Classifier,Score,C-value,Execution Time
Linear SVM,0.6688906444848046,0.05,19.260842847824097
Linear SVM,0.7171019447720035,0.1,19.427549886703492
Linear SVM,0.7305749418359205,0.15,19.557302117347717
Linear SVM,0.7351184540419997,0.2,21.143794345855714
Linear SVM,0.7368539158089537,0.25,26.543315529823303
Linear SVM,0.7371435899248143,0.3,25.317576742172243
Linear SVM,0.7368401384867832,0.35,29.508651971817017
Linear SVM,0.7353881740112378,0.4,28.979501938819887
Linear SVM,0.7347635536705285,0.45,36.04082591533661
Linear SVM,0.7347553205117832,0.5,43.19711947441101
Linear SVM,0.7340115537693117,0.55,32.95912888050079
Linear SVM,0.7337460199341007,0.6,36.333176136016846
Linear SVM,0.7333799347706298,0.65,41.11091775894165
Linear SVM,0.7321140980801998,0.7,44.60652477741242
Linear SVM,0.7320673404919245,0.75,38.56424949169159
Linear SVM,0.7319446538522664,0.8,36.295587348937985
Linear SVM,0.7312546691506565,0.85,37.50979716777802
Linear SVM,0.7299850058773862,0.9,36.99132378101349
Linear SVM,0.7294914306303305,0.95,36.76024127006531
Linear SVM,0.7279947767950958,1.0,45.896050214767456
Liblinear SVM,0.7388575110754539,0.05,0.04007534980773926
Liblinear SVM,0.7449708154678106,0.1,0.06046946048736572
Liblinear SVM,0.7451377901401339,0.15,0.06726124286651611
Liblinear SVM,0.7437904921607155,0.2,0.07505803108215332
Liblinear SVM,0.7429250414165292,0.25,0.06406514644622803
Liblinear SVM,0.7413037089062453,0.3,0.06536257266998291
Liblinear SVM,0.7403799358870611,0.35,0.07615752220153808
Liblinear SVM,0.7398328519242204,0.4,0.09134557247161865
Liblinear SVM,0.739172417577817,0.45,0.08235354423522949
Liblinear SVM,0.7380811458714152,0.5,0.08735051155090331
Liblinear SVM,0.7374754738031727,0.55,0.0897489070892334
Liblinear SVM,0.7358887837208572,0.6,0.09054996967315673
Liblinear SVM,0.73508627054324,0.65,0.10774035453796386
Liblinear SVM,0.7345350973890618,0.7,0.10533807277679444
Liblinear SVM,0.7340672899546165,0.75,0.11083736419677734
Liblinear SVM,0.7340618109352623,0.8,0.11183772087097169
Liblinear SVM,0.7336284456687663,0.85,0.1342226028442383
Liblinear SVM,0.7325426886123713,0.9,0.12692813873291015
Liblinear SVM,0.7320796360456672,0.95,0.1268296480178833
Liblinear SVM,0.7316540038119108,1.0,0.13242216110229493
Liblinear SVM,0.6355674890276966,0.005,0.024286413192749025
Liblinear SVM,0.6875602005800046,0.01,0.022387361526489256
Liblinear SVM,0.7087620948016592,0.015,0.023487162590026856
Liblinear SVM,0.7189930145290433,0.02,0.024587273597717285
Liblinear SVM,0.7250438137419164,0.025,0.023800468444824217
Liblinear SVM,0.7302585430878186,0.03,0.024685883522033693
Liblinear SVM,0.7335978855211163,0.035,0.025493335723876954
Liblinear SVM,0.7355947019737455,0.04,0.027390480041503906
Liblinear SVM,0.7377543849028418,0.045,0.029287290573120118
Liblinear SVM,0.7388575110754539,0.05,0.027492237091064454
Liblinear SVM,0.7401843902384506,0.055,0.02848396301269531
Liblinear SVM,0.7400540070384752,0.06,0.03422489166259766
Liblinear SVM,0.7408758410925917,0.065,0.03209855556488037
Liblinear SVM,0.7424877902436364,0.07,0.03513445854187012
Liblinear SVM,0.7428339768901421,0.075,0.03238215446472168
Liblinear SVM,0.7437216114005485,0.08,0.034081339836120605
Liblinear SVM,0.7437450606105943,0.085,0.035878658294677734
Liblinear SVM,0.7441462819985192,0.09,0.03710715770721436
Liblinear SVM,0.744656896846779,0.095,0.03529810905456543
Liblinear SVM,0.7449708154678106,0.1,0.03887929916381836
Linear SVM,0.26250000835796705,0.005,22.30556962490082
Linear SVM,0.3844983958227426,0.01,22.05525138378143
Linear SVM,0.4585920291239157,0.015,23.99955835342407
Linear SVM,0.5194970681498863,0.02,22.246264600753783
Linear SVM,0.5613648641461135,0.025,22.033504557609557
Linear SVM,0.593959919031033,0.03,22.25041968822479
Linear SVM,0.622918844551306,0.035,22.2026686668396
Linear SVM,0.6432848952562179,0.04,19.180137968063356
Linear SVM,0.6558311453110548,0.045,23.949505019187928
Linear SVM,0.6688906444848046,0.05,22.176607537269593
Linear SVM,0.6798109386702171,0.055,21.74025249481201
Linear SVM,0.6880374099161797,0.06,21.947942781448365
Linear SVM,0.6949174090675747,0.065,19.709539127349853
Linear SVM,0.700105888024023,0.07,21.255319023132323
Linear SVM,0.7036676524224605,0.075,20.290699529647828
Linear SVM,0.7080874896354561,0.08,20.802048230171202
Linear SVM,0.7102941999803625,0.085,23.867744898796083
Linear SVM,0.7126232633269132,0.09,19.10946912765503
Linear SVM,0.7147783602882012,0.095,19.453050923347472
Linear SVM,0.7171019447720035,0.1,21.18977746963501
RBF SVM,0.0,0.005,29.443085861206054
RBF SVM,0.0,0.01,28.406291794776916
RBF SVM,0.0,0.015,28.99579749107361
RBF SVM,0.0,0.02,27.922760343551637
RBF SVM,0.0,0.025,27.6972722530365
RBF SVM,0.0,0.03,27.954247975349425
RBF SVM,0.0,0.035,27.60547580718994
RBF SVM,0.0,0.04,27.528820204734803
RBF SVM,0.0,0.045,27.640743613243103
RBF SVM,0.0,0.05,26.843787288665773
RBF SVM,0.0,0.055,27.859247756004333
RBF SVM,0.0,0.06,27.734984493255617
RBF SVM,0.0,0.065,27.870220494270324
RBF SVM,0.0,0.07,28.47520806789398
RBF SVM,0.0,0.075,28.340289759635926
RBF SVM,0.0,0.08,28.18926453590393
RBF SVM,0.0,0.085,28.63845772743225
RBF SVM,0.0,0.09,28.220774602890014
RBF SVM,0.0,0.095,28.344326114654542
RBF SVM,0.0,0.1,28.310468363761903
RBF SVM,0.0,1,30.532590103149413
RBF SVM,0.0,2,33.41423439979553
RBF SVM,0.0,3,24.857406640052794
RBF SVM,0.0,4,23.99229576587677
RBF SVM,0.0,5,24.024561977386476
RBF SVM,0.0,6,25.10183184146881
RBF SVM,0.0,7,26.49888150691986
RBF SVM,0.00017056114617090227,8,30.893114542961122
RBF SVM,0.00017056114617090227,9,25.41497745513916
RBF SVM,0.0013637332568438405,10,33.682915163040164
RBF SVM,0.007473244491300534,11,29.69958703517914
RBF SVM,0.03599545946279664,12,29.582250547409057
RBF SVM,0.04436894824707846,13,29.310989117622377
