Pre-processing,Score,Alpha,Execution Time
Stem + Lem,0.7461625948327093,0.05,1.2007684707641602
Stem + Lem,0.750406079996874,0.1,1.1881975412368775
Stem + Lem,0.751968203305331,0.15,1.1864860773086547
Stem + Lem,0.7540745554877608,0.2,1.1451173543930053
Stem + Lem,0.7541932575982626,0.25,1.1225744485855103
Stem + Lem,0.7552100075415104,0.3,1.1293790340423584
Stem + Lem,0.7562032772975398,0.35,1.1433329343795777
Stem + Lem,0.7557486433005427,0.4,1.123032808303833
Stem + Lem,0.755927543870337,0.45,1.1210889101028443
Stem + Lem,0.7557614195075906,0.5,1.114310383796692
Stem + Lem,0.7552488444329428,0.55,1.0998730182647705
Stem + Lem,0.7549676922959688,0.6,1.1132590055465699
Stem + Lem,0.7541704575149426,0.65,1.1085574626922607
Stem + Lem,0.7539312152589712,0.7,1.1114704132080078
Stem + Lem,0.7534602306852708,0.75,1.0285917043685913
Stem + Lem,0.7533935272875935,0.8,0.856467890739441
Stem + Lem,0.7527734938433581,0.85,0.87637939453125
Stem + Lem,0.7520881630973273,0.9,0.9000749588012695
Stem + Lem,0.7518867653471673,0.95,0.942550253868103
Stem + Lem,0.7518893952901053,1.0,0.8734813928604126
Lemmatisation,0.7522606905419922,0.05,1.6537484407424927
Lemmatisation,0.757936571032191,0.1,1.2274560689926148
Lemmatisation,0.7592374519212847,0.15,1.3647668838500977
Lemmatisation,0.7602029626646905,0.2,1.2491742610931396
Lemmatisation,0.7622962607183238,0.25,1.2633153200149536
Lemmatisation,0.7638032100877516,0.3,1.642273449897766
Lemmatisation,0.7644476949144854,0.35,1.3745312213897705
Lemmatisation,0.7642194387411542,0.4,1.4037789106369019
Lemmatisation,0.7644047543021786,0.45,1.2717507600784301
Lemmatisation,0.7645446237889781,0.5,1.251195216178894
Lemmatisation,0.7643522774102461,0.55,1.4676145553588866
Lemmatisation,0.7648114981251738,0.6,1.3697304725646973
Lemmatisation,0.7648293817700953,0.65,1.467796754837036
Lemmatisation,0.7643647354130259,0.7,1.0051421642303466
Lemmatisation,0.7651330342281583,0.75,0.927806305885315
Lemmatisation,0.7648152015418037,0.8,0.8884044885635376
Lemmatisation,0.764363125720247,0.85,0.8733769178390502
Lemmatisation,0.763569150827136,0.9,0.8766794681549073
Lemmatisation,0.7631958084459001,0.95,0.8044309377670288
Lemmatisation,0.762678362503432,1.0,0.8006335020065307
Stemming,0.7510035095867991,0.05,0.8494649887084961
Stemming,0.7569564934862762,0.1,0.8289491415023804
Stemming,0.7604905075965773,0.15,0.8186502695083618
Stemming,0.7622370634234473,0.2,0.8396899938583374
Stemming,0.7642742035399349,0.25,0.8774782419204712
Stemming,0.76576671128285,0.3,0.8694700956344604
Stemming,0.7657578602731587,0.35,0.8143758773803711
Stemming,0.7660058926857463,0.4,0.8380618810653686
Stemming,0.7664716514697568,0.45,0.8037785053253174
Stemming,0.7671228609100305,0.5,0.806577491760254
Stemming,0.7674936003222292,0.55,0.8260789155960083
Stemming,0.7675056039142963,0.6,0.8125786066055298
Stemming,0.767293193931482,0.65,0.8206839084625244
Stemming,0.7671798422568719,0.7,0.8090757846832275
Stemming,0.766560859752115,0.75,0.8098968505859375
Stemming,0.766030122353647,0.8,0.802928376197815
Stemming,0.7658799917930353,0.85,0.8100224733352661
Stemming,0.7649439116202921,0.9,0.8118098258972168
Stemming,0.7645505841602406,0.95,0.8076786279678345
Stemming,0.7640111080339744,1.0,0.8042968511581421
