Classifier,Score,Alpha,Execution Time
Bernoulli NB,0.754953822,0.05,26.00223968
Bernoulli NB,0.757234218,0.1,37.83935933
Bernoulli NB,0.756706667,0.15,37.50247564
Bernoulli NB,0.75475227,0.2,36.67911079
Bernoulli NB,0.752574743,0.25,192.0722656
Bernoulli NB,0.751324874,0.3,38.7407249
Bernoulli NB,0.750180845,0.35,37.83511016
Bernoulli NB,0.749263712,0.4,39.8734966
Bernoulli NB,0.748467837,0.45,38.83526242
Bernoulli NB,0.746155887,0.5,38.49768758
Bernoulli NB,0.745175203,0.55,36.40784197
Bernoulli NB,0.743511398,0.6,38.81075127
Bernoulli NB,0.743193039,0.65,35.65910389
Bernoulli NB,0.742571929,0.7,35.70918479
Bernoulli NB,0.742438953,0.75,35.97762282
Bernoulli NB,0.744311078,0.8,36.55515332
Bernoulli NB,0.74270253,0.85,36.74618099
Bernoulli NB,0.740568155,0.9,36.84399714
Bernoulli NB,0.74247334,0.95,35.05113878
Bernoulli NB,0.738283829,1,36.6766237
