Feature Type,Score,No. Topics,Execution Time,,,
Bag-of-Words,0,5,0.004897094,,,
Bag-of-Words,0,6,0.008094645,,,
Bag-of-Words,0,7,0.005796981,,,
Bag-of-Words,0,8,0.005295706,,,
Bag-of-Words,0,9,0.00889492,,,
Bag-of-Words,0,10,0.012992692,,,
Bag-of-Words,0.029549141,11,0.005298328,,,
Bag-of-Words,0,12,0.004794693,,,
Bag-of-Words,0.061330506,13,0.005495977,,,
Bag-of-Words,0.001191489,14,0.00479579,,,
Bag-of-Words,0.030530857,15,0.006596112,,,
Bag-of-Words,0.006102156,16,0.004795432,,,
Bag-of-Words,0.011823486,17,0.004896426,,,
Bag-of-Words,0.050010136,18,0.00599556,,,
Bag-of-Words,0.047665445,19,0.005295277,,,
Bag-of-Words,0.072012039,20,0.006897235,,,
Bag-of-Words,0.054978585,21,0.00539608,,,
Bag-of-Words,0.004254161,22,0.009997177,,,
Bag-of-Words,0.059472859,23,0.005997396,,,
Bag-of-Words,0.006780278,24,0.007397199,,,
Bag-of-Words,0.039074472,25,0.007992601,,,
Doc2Vec,0,5,0.005357289,,,300 vectors
Doc2Vec,0,6,0.008194804,,,
Doc2Vec,0,7,0.004208517,,,
Doc2Vec,0.05363430186044127,15,0.005696868896484375
Doc2Vec,0.12409308612477195,30,0.0054013729095458984
Doc2Vec,0.08544139866470106,50,0.015035748481750488
Doc2Vec,0.14199998891207832,100,0.010297298431396484
Doc2Vec,0.14648774530131983,150,0.014292454719543457
Doc2Vec,0.1631396280302968,200,0.025686264038085938
Doc2Vec,0.13998604391207586,250,0.021691036224365235
Doc2Vec,0.12902917242852815,300,0.026688814163208008
Doc2Vec,0.08767545416888572,350,0.03435511589050293
Doc2Vec,0.13614366478810885,400,0.04638409614562988
Doc2Vec,0.10613901697126282,450,0.04536869525909424
