Classifier,Score,No. Topics,Execution Time
Multinomial NB,0,1,0.004618835
Multinomial NB,0,2,0.010103703
Multinomial NB,0.198784292,40,0.016000199
Multinomial NB,0.206494071,60,0.020000243
Multinomial NB,0.182649712,80,0.018100715
Multinomial NB,0.209280153,100,0.018000913
Multinomial NB,0.222313097,120,0.021000552
Multinomial NB,0.206877334,140,0.02080133
Multinomial NB,0.226036973,160,0.025900078
Multinomial NB,0.169981182,180,0.021600819
Multinomial NB,0.173389043,200,0.030401301
Multinomial NB,0.177453193,220,0.024801564
Multinomial NB,0.173385511,240,0.027901316
Multinomial NB,0.185881525,260,0.030001163
Multinomial NB,0.190646652,280,0.029600477
Multinomial NB,0.177635352,300,0.032700348
Multinomial NB,0.164713502,320,0.026701498
Multinomial NB,0.19193132,340,0.039500785
Multinomial NB,0.210780602,360,0.044400358
Multinomial NB,0.17516797,380,0.049500084
Multinomial NB,0.221317779,400,0.048599315
Multinomial NB,0.214850905,420,0.048099446
Multinomial NB,0.231329759,440,0.044900417
Multinomial NB,0.261689287,460,0.047700047
Multinomial NB,0.263957099,480,0.057599163
Multinomial NB,0.298564629,500,0.046600175
Multinomial NB,0.306711594,520,0.052500105
Multinomial NB,0.332966686,540,0.051000786
Multinomial NB,0.35463313,560,0.057600355
Multinomial NB,0.34737231,580,0.059699202
Multinomial NB,0.354553639,600,0.047901368
Multinomial NB,0.368042709,620,0.049800277
Multinomial NB,0.364136381,640,0.054800725
Multinomial NB,0.405142777,660,0.057500482
Multinomial NB,0.37779123,680,0.058999562
Multinomial NB,0.4023994,700,0.049801683
Multinomial NB,0.371629025,720,0.062599421
Multinomial NB,0.391552983,740,0.089205503
Multinomial NB,0.352689055,760,0.072098589
Multinomial NB,0.372860412,780,0.086598682
Multinomial NB,0.344392555,800,0.063899684
TF-IDF,0.0,20,0.014400196075439454
TF-IDF,0.016293982010662646,40,0.021299982070922853
TF-IDF,0.014135990068037462,60,0.01659977436065674
TF-IDF,0.011472735909398483,80,0.023199844360351562
TF-IDF,0.01783781210901376,100,0.01970069408416748
TF-IDF,0.016523185540268184,120,0.0231001615524292
TF-IDF,0.05165312135817489,140,0.027100133895874023
TF-IDF,0.018351732371805644,160,0.02570016384124756
TF-IDF,0.061777207175516914,180,0.02600052356719971
TF-IDF,0.027958692284160775,200,0.02540009021759033
TF-IDF,0.023489710315944136,220,0.029701995849609374
TF-IDF,0.0,240,0.029800987243652342
TF-IDF,0.0,260,0.031000900268554687
TF-IDF,0.0,280,0.039400124549865724
TF-IDF,0.0,300,0.038800740242004396
TF-IDF,0.0,320,0.03449966907501221
TF-IDF,0.0,340,0.04460053443908692
TF-IDF,0.0,360,0.04469974040985107
TF-IDF,0.0,380,0.04620006084442139
TF-IDF,0.0,400,0.050600624084472655
TF-IDF,0.0,420,0.04560866355895996
TF-IDF,0.0,440,0.04679989814758301
TF-IDF,0.0,460,0.04690001010894775
TF-IDF,0.0,480,0.06031148433685303
TF-IDF,0.0,500,0.06770660877227783
TF-IDF,0.0,520,0.07109899520874023
TF-IDF,0.0,540,0.08389873504638672
TF-IDF,0.0,560,0.0672990083694458
TF-IDF,0.0,580,0.05611991882324219
TF-IDF,0.0,600,0.06729967594146728
TF-IDF,0.0,620,0.08329815864562988
TF-IDF,0.0,640,0.06510698795318604
TF-IDF,0.0,660,0.08426084518432617
TF-IDF,0.0,680,0.07284989356994628
TF-IDF,0.0,700,0.07499911785125732
TF-IDF,0.0,720,0.07219834327697754
TF-IDF,0.0,740,0.07199900150299073
TF-IDF,0.0,760,0.07249867916107178
TF-IDF,0.0,780,0.07179927825927734
TF-IDF,0.0,800,0.08070220947265624
