Classifier,Score,Num Feats,Execution Time
Multinomial NB,0.512456554,100,0.009372711
Multinomial NB,0.553840605,200,0.009374547
Multinomial NB,0.583337193,300,0.016255069
Multinomial NB,0.606571695,400,0.025000119
Multinomial NB,0.622943273,500,0.029685307
Multinomial NB,0.635178678,600,0.034368992
Multinomial NB,0.650731897,700,0.045039344
Multinomial NB,0.661117963,800,0.049706674
Multinomial NB,0.668133318,900,0.05407362
Multinomial NB,0.670890528,1000,0.056255937
Multinomial NB,0.676089836,1100,0.067180014
Multinomial NB,0.680629397,1200,0.071861005
Multinomial NB,0.684275076,1300,0.078451777
Multinomial NB,0.689039553,1400,0.087721992
Multinomial NB,0.691007882,1500,0.093098569
Multinomial NB,0.69507082,1600,0.097225571
Multinomial NB,0.697235632,1700,0.104200411
Multinomial NB,0.700444451,1800,0.114701533
Multinomial NB,0.703740088,1900,0.114050579
Multinomial NB,0.706961023,2000,0.117046666
Multinomial NB,0.707619174,2100,0.125117564
Multinomial NB,0.706634365,2200,0.133128333
Multinomial NB,0.710011259,2300,0.137383795
Multinomial NB,0.711215972,2400,0.148785257
Multinomial NB,0.713236922,2500,0.145281768
Multinomial NB,0.714488663,2600,0.155281234
Multinomial NB,0.715181666,2700,0.164677191
Multinomial NB,0.715365009,2800,0.171186495
Multinomial NB,0.715686978,2900,0.172895837
Multinomial NB,0.718298702,3000,0.17653594
Multinomial NB,0.717561702,3100,0.188195825
Multinomial NB,0.718993593,3200,0.184980631
Multinomial NB,0.71938298,3300,0.191236377
Multinomial NB,0.721035006,3400,0.194581389
Multinomial NB,0.721295201,3500,0.202704501
Multinomial NB,0.72219638,3600,0.204673958
Multinomial NB,0.722039809,3700,0.208417583
Multinomial NB,0.723182459,3800,0.217728639
Multinomial NB,0.723686729,3900,0.229661489
Multinomial NB,0.723948926,4000,0.231227374
Multinomial NB,0.7246941,4100,0.231676292
Multinomial NB,0.725229913,4200,0.239414811
Multinomial NB,0.726264668,4300,0.247619343
Multinomial NB,0.72796448,4400,0.253430009
Multinomial NB,0.72852032,4500,0.254434323
Multinomial NB,0.72834682,4600,0.260265398
Multinomial NB,0.728777309,4700,0.270297503
Multinomial NB,0.729340823,4800,0.272350001
Multinomial NB,0.730127479,4900,0.279673505
Multinomial NB,0.730557943,5000,0.279172444
Multinomial NB,0.730859853,5100,0.285782695
Multinomial NB,0.730565665,5200,0.292173457
Multinomial NB,0.730079872,5300,0.303115821
Multinomial NB,0.730489095,5400,0.312362719
Multinomial NB,0.730829534,5500,0.306221843
Multinomial NB,0.731793697,5600,0.322016764
Multinomial NB,0.731958536,5700,0.328673887
Multinomial NB,0.732614752,5800,0.336191463
Multinomial NB,0.73254537,5900,0.341338491
Multinomial NB,0.731974473,6000,0.347331595
Multinomial NB,0.733105996,6100,0.354373217
Multinomial NB,0.733226945,6200,0.355198598
Multinomial NB,0.733561653,6300,0.363207674
Multinomial NB,0.734153175,6400,0.365974784
Multinomial NB,0.733580833,6500,0.376231503
Multinomial NB,0.733403886,6600,0.378070307
Multinomial NB,0.73382868,6700,0.381401181
Multinomial NB,0.73395254,6800,0.38283422
Multinomial NB,0.733903726,6900,0.392819357
Multinomial NB,0.734301493,7000,0.3948107
Multinomial NB,0.734721554,7100,0.395285654
Multinomial NB,0.734599853,7200,0.41254611
Multinomial NB,0.735251166,7300,0.408665228
Multinomial NB,0.734860273,7400,0.409351087
Multinomial NB,0.734772641,7500,0.423889184
Multinomial NB,0.735070777,7600,0.425421572
Multinomial NB,0.734374556,7700,0.430045819
Multinomial NB,0.735243344,7800,0.439036584
Multinomial NB,0.735125648,7900,0.443406701
Multinomial NB,0.73538702,8000,0.448789907
Multinomial NB,0.735575563,8100,0.449975562
Multinomial NB,0.734867482,8200,0.465354443
Multinomial NB,0.734759313,8300,0.465609312
Multinomial NB,0.734669592,8400,0.469857025
Multinomial NB,0.734388846,8500,0.472303915
Multinomial NB,0.734327438,8600,0.478320408
Multinomial NB,0.733820792,8700,0.484356594
Multinomial NB,0.733746948,8800,0.496406007
Multinomial NB,0.733745697,8900,0.500106359
Multinomial NB,0.732911402,9000,0.509520817
Multinomial NB,0.732729336,9100,0.509937263
Multinomial NB,0.73254625,9200,0.529149771
Multinomial NB,0.733160942,9300,0.525130963
Multinomial NB,0.733143046,9400,0.532123137
Multinomial NB,0.732793773,9500,0.527290606
Multinomial NB,0.732776279,9600,0.535140634
Multinomial NB,0.733021849,9700,0.538469577
Multinomial NB,0.732454962,9800,0.545355153
Multinomial NB,0.732597855,9900,0.554678226
Multinomial NB,0.733028454,10000,0.561035371
Multinomial NB,0.732802721,10100,0.564805293
Multinomial NB,0.732422603,10200,0.565845942
Multinomial NB,0.732153619,10300,0.579755068
Multinomial NB,0.731988468,10400,0.626203513
Multinomial NB,0.732116293,10500,0.605183554
Multinomial NB,0.731624411,10600,0.615644336
Multinomial NB,0.731383908,10700,0.601542664
Multinomial NB,0.731366468,10800,0.621971345
Multinomial NB,0.730886191,10900,0.604674792
Multinomial NB,0.730893392,11000,0.623415565
Multinomial NB,0.730620424,11100,0.622844172
Multinomial NB,0.730210688,11200,0.629674888
Multinomial NB,0.730187291,11300,0.62165916
Multinomial NB,0.729781028,11400,0.636048961
Multinomial NB,0.72943798,11500,0.647956944
Multinomial NB,0.729126698,11600,0.644106102
Multinomial NB,0.729416567,11700,0.650945711
Multinomial NB,0.729133623,11800,0.656832337
Multinomial NB,0.728767417,11900,0.65559895
Multinomial NB,0.727957232,12000,0.660515428
Multinomial NB,0.728229359,12100,0.665610409
Multinomial NB,0.728374377,12200,0.676176429
Multinomial NB,0.728117121,12300,0.709989166
Multinomial NB,0.727816773,12400,0.694094872
Multinomial NB,0.727700734,12500,0.714869928
Multinomial NB,0.727302145,12600,0.740277505
Multinomial NB,0.727078675,12700,0.717171955
Multinomial NB,0.727271849,12800,0.71258986
Multinomial NB,0.727393052,12900,0.71505444
Multinomial NB,0.727100418,13000,0.723740029
Multinomial NB,0.726936106,13100,0.71613214
Multinomial NB,0.727066736,13200,0.729461503
Multinomial NB,0.727004945,13300,0.739041162
Multinomial NB,0.726600171,13400,0.735958266
Multinomial NB,0.726238051,13500,0.748454237
Multinomial NB,0.725604648,13600,0.754872775
Multinomial NB,0.726117544,13700,0.759504795
Multinomial NB,0.726237086,13800,0.759521127
Multinomial NB,0.726419428,13900,0.766850257
Multinomial NB,0.726020368,14000,0.775813532
Multinomial NB,0.725993426,14100,0.785088038
Multinomial NB,0.725872031,14200,0.786185765
Multinomial NB,0.725966072,14300,0.788899064
Multinomial NB,0.725601153,14400,0.789041734
Multinomial NB,0.725461259,14500,0.803597927
Multinomial NB,0.725287626,14600,0.800675654
Multinomial NB,0.724966479,14700,0.815861773
Multinomial NB,0.724806892,14800,0.815158272
Multinomial NB,0.724598219,14900,0.827587795
Multinomial NB,0.724518723,15000,0.845867872
Multinomial NB,0.724257497,15100,0.846262193
Multinomial NB,0.72393403,15200,0.843501925
Multinomial NB,0.723801365,15300,0.847091532
Multinomial NB,0.723136103,15400,0.852802753
Multinomial NB,0.723430956,15500,0.850859714
Multinomial NB,0.72309764,15600,0.886265874
Multinomial NB,0.722771963,15700,0.887415266
Multinomial NB,0.72241264,15800,0.868721271
Multinomial NB,0.722479256,15900,0.875699186
Multinomial NB,0.722453656,16000,0.883085966
Multinomial NB,0.722196971,16100,0.894593668
Multinomial NB,0.72194122,16200,0.893399024
Multinomial NB,0.721965381,16300,0.901795888
Multinomial NB,0.721768804,16400,0.930600262
Multinomial NB,0.721986745,16500,0.926774836
Multinomial NB,0.721509931,16600,0.925500131
Multinomial NB,0.720901518,16700,0.921953344
Multinomial NB,0.721006341,16800,0.96460309
Multinomial NB,0.720670848,16900,0.964994645
Multinomial NB,0.720322917,17000,0.977136445
Multinomial NB,0.720419207,17100,0.960985208
Multinomial NB,0.720214278,17200,0.95446651
Multinomial NB,0.719773693,17300,0.950901341
Multinomial NB,0.720001736,17400,0.963863826
Multinomial NB,0.719521005,17500,0.966278982
Multinomial NB,0.719273365,17600,0.995755076
Multinomial NB,0.719166323,17700,0.990090656
Multinomial NB,0.718828664,17800,0.9792346
Multinomial NB,0.718497386,17900,0.989911008
Multinomial NB,0.718263539,18000,0.995229626
Multinomial NB,0.718153712,18100,1.009817696
Multinomial NB,0.717691397,18200,1.014479995
Multinomial NB,0.717469784,18300,1.00755372
Multinomial NB,0.717129122,18400,1.02518959
Multinomial NB,0.717179307,18500,1.020417547
Multinomial NB,0.716944137,18600,1.024563742
Multinomial NB,0.717125855,18700,1.028328156
Multinomial NB,0.716698359,18800,1.034490514
Multinomial NB,0.716430668,18900,1.057632852
Multinomial NB,0.716188605,19000,1.056449962
Multinomial NB,0.716179927,19100,1.082926202
Multinomial NB,0.7158338,19200,1.101062918
Multinomial NB,0.715351686,19300,1.0718606
Multinomial NB,0.715262175,19400,1.073761106
Multinomial NB,0.714999335,19500,1.082884622
Multinomial NB,0.714969623,19600,1.084965253
Multinomial NB,0.714588666,19700,1.073419619
Multinomial NB,0.71459538,19800,1.088987899
Multinomial NB,0.714517376,19900,1.117790484
Multinomial NB,0.714219557,20000,1.158465791
