Classifier,Score,Alpha,Execution Time
Multinomial NB,0.0,0.01,0.0036408424377441405
Multinomial NB,0.0,0.02,0.004121851921081543
Multinomial NB,0.0,0.03,0.003999471664428711
Multinomial NB,0.0,0.04,0.0047988414764404295
Multinomial NB,0.0,0.05,0.005199217796325683
Multinomial NB,0.0,0.06,0.005158352851867676
Multinomial NB,0.0,0.07,0.0051489114761352536
Multinomial NB,0.0,0.08,0.004923439025878907
Multinomial NB,0.0,0.09,0.0029874801635742187
Multinomial NB,0.0,0.1,0.0027030229568481444
Multinomial NB,0.0,0.11,0.0040826559066772464
Multinomial NB,0.0,0.12,0.004484748840332032
Multinomial NB,0.0,0.13,0.005305647850036621
Multinomial NB,0.0,0.14,0.006265068054199218
Multinomial NB,0.0,0.15,0.004214978218078614
Multinomial NB,0.0,0.16,0.005601644515991211
Multinomial NB,0.0,0.17,0.002871537208557129
Multinomial NB,0.0,0.18,0.005568146705627441
Multinomial NB,0.0,0.19,0.0017226457595825196
Multinomial NB,0.0,0.2,0.003826284408569336
Multinomial NB,0.0,0.21,0.0027994632720947264
Multinomial NB,0.0,0.22,0.0026729345321655274
Multinomial NB,0.0,0.23,0.004139399528503418
Multinomial NB,0.0,0.24,0.003521227836608887
Multinomial NB,0.0,0.25,0.0030975103378295898
Multinomial NB,0.0,0.26,0.005688357353210449
Multinomial NB,0.0,0.27,0.003507661819458008
Multinomial NB,0.0,0.28,0.001305842399597168
Multinomial NB,0.0,0.29,0.0033523082733154298
Multinomial NB,0.0,0.3,0.0042710542678833004
Multinomial NB,0.0,0.31,0.003641819953918457
Multinomial NB,0.0,0.32,0.003222084045410156
Multinomial NB,0.0,0.33,0.002721238136291504
Multinomial NB,0.0,0.34,0.00413973331451416
Multinomial NB,0.0,0.35,0.003976702690124512
Multinomial NB,0.0,0.36,0.0033176183700561524
Multinomial NB,0.0,0.37,0.0048269987106323246
Multinomial NB,0.0,0.38,0.005422377586364746
Multinomial NB,0.0,0.39,0.005730915069580078
Multinomial NB,0.0,0.4,0.00261080265045166
Multinomial NB,0.0,0.41,0.005845379829406738
Multinomial NB,0.0,0.42,0.004329276084899902
Multinomial NB,0.0,0.43,0.0032069206237792967
Multinomial NB,0.0,0.44,0.0011166095733642577
Multinomial NB,0.0,0.45,0.0020652532577514647
Multinomial NB,0.0,0.46,0.003508162498474121
Multinomial NB,0.0,0.47,0.0035339117050170897
Multinomial NB,0.0,0.48,0.0018041372299194337
Multinomial NB,0.0,0.49,0.004234695434570312
Multinomial NB,0.0,0.5,0.00392308235168457
Multinomial NB,0.0,0.51,0.002160930633544922
Multinomial NB,0.0,0.52,0.004005837440490723
Multinomial NB,0.0,0.53,0.0049391984939575195
Multinomial NB,0.0,0.54,0.002826023101806641
Multinomial NB,0.0,0.55,0.001216745376586914
Multinomial NB,0.0,0.56,0.005138087272644043
Multinomial NB,0.0,0.57,0.002698659896850586
Multinomial NB,0.0,0.58,0.006361699104309082
Multinomial NB,0.0,0.59,0.0035130977630615234
Multinomial NB,0.0,0.6,0.004245352745056152
Multinomial NB,0.0,0.61,0.00281679630279541
Multinomial NB,0.0,0.62,0.0026102304458618165
Multinomial NB,0.0,0.63,0.0029830217361450197
Multinomial NB,0.0,0.64,0.0010041475296020507
Multinomial NB,0.0,0.65,0.005527997016906738
Multinomial NB,0.0,0.66,0.002972245216369629
Multinomial NB,0.0,0.67,0.0039013385772705077
Multinomial NB,0.0,0.68,0.003813481330871582
Multinomial NB,0.0,0.69,0.005239224433898926
Multinomial NB,0.0,0.7,0.003241896629333496
Multinomial NB,0.0,0.71,0.0030553579330444337
Multinomial NB,0.0,0.72,0.003844451904296875
Multinomial NB,0.0,0.73,0.005044770240783691
Multinomial NB,0.0,0.74,0.0033132553100585936
Multinomial NB,0.0,0.75,0.0030108213424682615
Multinomial NB,0.0,0.76,0.006888890266418457
Multinomial NB,0.0,0.77,0.005645489692687989
Multinomial NB,0.0,0.78,0.003166460990905762
Multinomial NB,0.0,0.79,0.004122233390808106
Multinomial NB,0.0,0.8,0.0030342578887939454
Multinomial NB,0.0,0.81,0.004433774948120117
Multinomial NB,0.0,0.82,0.0036400556564331055
Multinomial NB,0.0,0.83,0.005537486076354981
Multinomial NB,0.0,0.84,0.003983259201049805
Multinomial NB,0.0,0.85,0.004941391944885254
Multinomial NB,0.0,0.86,0.0032320022583007812
Multinomial NB,0.0,0.87,0.005522704124450684
Multinomial NB,0.0,0.88,0.0052586555480957035
Multinomial NB,0.0,0.89,0.005135202407836914
Multinomial NB,0.0,0.9,0.0017618894577026366
Multinomial NB,0.0,0.91,0.0037223339080810548
