Classifier,Score,Alpha,Execution Time
Multinomial NB,0.7198813396171216,0.01,0.28687129020690916
Multinomial NB,0.7212012897425385,0.02,0.289635157585144
Multinomial NB,0.7224014601530215,0.03,0.2847083568572998
Multinomial NB,0.7235205207710598,0.04,0.28436400890350344
Multinomial NB,0.7245412943917062,0.05,0.28263843059539795
Multinomial NB,0.724992623733061,0.06,0.2812443733215332
Multinomial NB,0.7254497237264926,0.07,0.28280818462371826
Multinomial NB,0.7260164414339488,0.08,0.2824687480926514
Multinomial NB,0.7263404756232283,0.09,0.2831245422363281
Multinomial NB,0.7265347355370533,0.1,0.2826185464859009
Multinomial NB,0.7272046815932351,0.11,0.28123791217803956
Multinomial NB,0.7274741009726973,0.12,0.28414976596832275
Multinomial NB,0.7276109829187981,0.13,0.27968170642852785
Multinomial NB,0.728009178244989,0.14,0.2843656539916992
Multinomial NB,0.7282438187080178,0.15,0.28123939037323
Multinomial NB,0.7285147931384361,0.16,0.27754595279693606
Multinomial NB,0.7291562287659221,0.17,0.27687549591064453
Multinomial NB,0.7293733968210065,0.18,0.2789910078048706
Multinomial NB,0.7296095039860545,0.19,0.28317718505859374
Multinomial NB,0.7299038209771236,0.2,0.28279910087585447
Multinomial NB,0.7301951545561352,0.21,0.28463904857635497
Multinomial NB,0.7303845756114276,0.22,0.2813761234283447
Multinomial NB,0.730497132370806,0.23,0.27968583106994627
Multinomial NB,0.7308125290642857,0.24,0.28316094875335696
Multinomial NB,0.73069835272719,0.25,0.2859348773956299
Multinomial NB,0.7309015466822917,0.26,0.28161671161651614
Multinomial NB,0.7313095901134767,0.27,0.28804352283477785
Multinomial NB,0.7311413738029617,0.28,0.27811360359191895
Multinomial NB,0.7310348120661163,0.29,0.2841826915740967
Multinomial NB,0.7314418743500865,0.3,0.2796855688095093
Multinomial NB,0.7314748454439108,0.31,0.2827766895294189
Multinomial NB,0.7315494414404857,0.32,0.2846644639968872
Multinomial NB,0.7316336063602676,0.33,0.28282082080841064
Multinomial NB,0.731894496487586,0.34,0.28592872619628906
Multinomial NB,0.7318073045097977,0.35,0.2843815326690674
Multinomial NB,0.7317763722878012,0.36,0.27806217670440675
Multinomial NB,0.7317742110009018,0.37,0.2735832452774048
Multinomial NB,0.7317756971554537,0.38,0.2828010320663452
Multinomial NB,0.7317447503355874,0.39,0.2798093318939209
Multinomial NB,0.7316136911700455,0.4,0.28149237632751467
Multinomial NB,0.7319327649607386,0.41,0.28545417785644533
Multinomial NB,0.7321290708145258,0.42,0.28280324935913087
Multinomial NB,0.732007007044486,0.43,0.2847855567932129
Multinomial NB,0.7318721854091319,0.44,0.279683518409729
Multinomial NB,0.7316698910247059,0.45,0.28125338554382323
Multinomial NB,0.7315573563317794,0.46,0.2813825845718384
Multinomial NB,0.7315974144654849,0.47,0.28462443351745603
Multinomial NB,0.7315345911754279,0.48,0.27968173027038573
Multinomial NB,0.731592938042741,0.49,0.28474674224853513
Multinomial NB,0.7314647074610843,0.5,0.2851880550384521
