Classifier,Score,Alpha,Execution Time
Multinomial NB,0.7168779484720281,0.01,0.007137179374694824
Multinomial NB,0.7210163960943108,0.02,0.008178257942199707
Multinomial NB,0.7249239355714767,0.03,0.006562256813049316
Multinomial NB,0.7273733658796362,0.04,0.005772304534912109
Multinomial NB,0.7296869280622809,0.05,0.009637022018432617
Multinomial NB,0.7314339458765697,0.06,0.009288334846496582
Multinomial NB,0.7327070073773589,0.07,0.008847928047180176
Multinomial NB,0.7339695688484638,0.08,0.0061540365219116214
Multinomial NB,0.7350335604488878,0.09,0.010397672653198242
Multinomial NB,0.7355374929584222,0.1,0.006131720542907715
Multinomial NB,0.7362925648611415,0.11,0.010105514526367187
Multinomial NB,0.7360911501203284,0.12,0.0059985160827636715
Multinomial NB,0.736729252525268,0.13,0.007404208183288574
Multinomial NB,0.7371699959107627,0.14,0.007800054550170898
Multinomial NB,0.7373651979419424,0.15,0.006488490104675293
Multinomial NB,0.7376961315542466,0.16,0.007550358772277832
Multinomial NB,0.7374055786547575,0.17,0.00679476261138916
Multinomial NB,0.7374748109132176,0.18,0.004980802536010742
Multinomial NB,0.7383393025988962,0.19,0.004827165603637695
Multinomial NB,0.7384034028942175,0.2,0.007810616493225097
Multinomial NB,0.7382098638330241,0.21,0.007584476470947265
Multinomial NB,0.7374171079859528,0.22,0.008009529113769532
Multinomial NB,0.7370928532749836,0.23,0.006773185729980469
Multinomial NB,0.7368699157795454,0.24,0.006397914886474609
Multinomial NB,0.7366676740089482,0.25,0.008510255813598632
Multinomial NB,0.736928838653438,0.26,0.006320595741271973
Multinomial NB,0.7368886314258325,0.27,0.004770255088806153
Multinomial NB,0.7359440100112083,0.28,0.005825924873352051
Multinomial NB,0.7357918463066525,0.29,0.00839545726776123
Multinomial NB,0.7355106920431488,0.3,0.007797098159790039
Multinomial NB,0.7350928263364209,0.31,0.006311559677124023
Multinomial NB,0.734931893983332,0.32,0.006193232536315918
Multinomial NB,0.7346049085340569,0.33,0.011218380928039551
Multinomial NB,0.734420473334539,0.34,0.005603337287902832
Multinomial NB,0.7344651955606225,0.35,0.006683874130249024
Multinomial NB,0.7340761106275429,0.36,0.010388946533203125
Multinomial NB,0.7336614218367703,0.37,0.00898725986480713
Multinomial NB,0.733222082915514,0.38,0.009236478805541992
Multinomial NB,0.7328684277917248,0.39,0.007010173797607422
Multinomial NB,0.7324536763019736,0.4,0.007188129425048828
Multinomial NB,0.7323102923002316,0.41,0.00942838191986084
Multinomial NB,0.731428680958708,0.42,0.006684708595275879
Multinomial NB,0.7307098678635686,0.43,0.005999612808227539
Multinomial NB,0.7305788514232745,0.44,0.008707666397094726
Multinomial NB,0.7303618017550512,0.45,0.009371089935302734
Multinomial NB,0.7296233418214324,0.46,0.006466436386108399
Multinomial NB,0.7295840855597849,0.47,0.005459046363830567
Multinomial NB,0.7288039610505688,0.48,0.009347319602966309
Multinomial NB,0.7286192899414811,0.49,0.008192348480224609
Multinomial NB,0.7284004606893033,0.5,0.0082672119140625
Multinomial NB,0.7281708751141956,0.51,0.006881237030029297
Multinomial NB,0.728093643652892,0.52,0.005783534049987793
Multinomial NB,0.7278885457153579,0.53,0.009386014938354493
Multinomial NB,0.7275552095206566,0.54,0.005293416976928711
Multinomial NB,0.7271744411456538,0.55,0.0037031650543212892
Multinomial NB,0.7268976669047563,0.56,0.0035017251968383787
Multinomial NB,0.7262834706385725,0.57,0.005008578300476074
Multinomial NB,0.7256772018391046,0.58,0.01008617877960205
Multinomial NB,0.7248781390751478,0.59,0.006091690063476563
Multinomial NB,0.7245291052658873,0.6,0.004573607444763183
Multinomial NB,0.7236154673583413,0.61,0.00595247745513916
Multinomial NB,0.7236459954332055,0.62,0.005333638191223145
Multinomial NB,0.7230947153200035,0.63,0.004647088050842285
