Feature Type,Score,n-gram uppper limit,Execution Time
Bag-of-Words,0.7142195569751804,1,0.007648658752441406
Bag-of-Words,0.7329220042503752,2,0.007996439933776855
Bag-of-Words,0.7345677898655688,3,0.006197333335876465
Bag-of-Words,0.734580449436046,4,0.009595847129821778
Bag-of-Words,0.7332025769202195,5,0.0062969446182250975
Bag-of-Words,0.7334633244119582,6,0.005600142478942871
Bag-of-Words,0.7338039224152249,7,0.005897307395935058
Bag-of-Words,0.7340239566810698,8,0.0066967964172363285
Bag-of-Words,0.7349738919201099,9,0.0065958499908447266
Bag-of-Words,0.733142314927612,10,0.0063002586364746095
Bag-of-Words,0.09109202953968991,2,0.004330325126647949
