Classifier,Score,Fold,Execution Time
Liblinear SVM,0.24476439790575913,1,0.1039283275604248
Liblinear SVM,0.2362924281984334,2,0.0849461555480957
Liblinear SVM,0.23815789473684212,3,0.07995414733886719
Liblinear SVM,0.25226390685640365,4,0.08996129035949707
Liblinear SVM,0.21571238348868177,5,0.07995390892028809
Liblinear SVM,0.21774193548387097,6,0.08994817733764648
Liblinear SVM,0.21530128639133378,7,0.08395624160766602
Liblinear SVM,0.2086720867208672,8,0.08894848823547363
Liblinear SVM,0.21313672922252008,9,0.08195185661315918
Liblinear SVM,0.22337662337662334,10,0.08496308326721191
Bernoulli NB,0.08715953307392996,1,0.04096508026123047
Bernoulli NB,0.06119162640901771,2,0.011975288391113281
Bernoulli NB,0.051159072741806554,3,0.009995222091674805
Bernoulli NB,0.0955315870570108,4,0.010992288589477539
Bernoulli NB,0.06430868167202573,5,0.008994817733764648
Bernoulli NB,0.06244995996797438,6,0.012991905212402344
Bernoulli NB,0.06869009584664536,7,0.006994485855102539
Bernoulli NB,0.0732484076433121,8,0.012992382049560547
Bernoulli NB,0.07159904534606207,9,0.009994029998779297
Bernoulli NB,0.08709175738724727,10,0.008995294570922852
