Classifier,Score,Fold,Execution Time
Liblinear SVM,0.44474963025565173,1,0.7609789371490479
Liblinear SVM,0.47284345047923326,2,0.8030881881713867
Liblinear SVM,0.44474963025565173,3,0.7571530342102051
Liblinear SVM,0.47284345047923326,4,0.8009786605834961
Liblinear SVM,0.44474963025565173,5,0.7219808101654053
Liblinear SVM,0.47284345047923326,6,0.7719793319702148
Liblinear SVM,0.44474963025565173,7,0.7319793701171875
Liblinear SVM,0.47284345047923326,8,0.8169782161712646
Liblinear SVM,0.44474963025565173,9,0.7129807472229004
Liblinear SVM,0.47284345047923326,10,0.831977367401123
Bernoulli NB,0.48693542366554693,1,0.3859884738922119
Bernoulli NB,0.5225012641159615,2,0.39998912811279297
Bernoulli NB,0.48693542366554693,3,0.4880523681640625
Bernoulli NB,0.5225012641159615,4,0.5356523990631104
Bernoulli NB,0.48693542366554693,5,0.617490291595459
Bernoulli NB,0.5225012641159615,6,0.4999861717224121
Bernoulli NB,0.48693542366554693,7,0.4849863052368164
Bernoulli NB,0.5225012641159615,8,0.4770019054412842
Bernoulli NB,0.48693542366554693,9,0.42398810386657715
Bernoulli NB,0.5225012641159615,10,0.5214910507202148
